ADDRTYPE,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,highest_severity,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SPEEDING,ST_COLCODE,ST_COLDESC,HITPARKEDCAR,SHAREDMICROMOBILITYCD,SHAREDMICROMOBILITYDESC,hour,day_of_week,month,AGE_BUCKET_baby,AGE_BUCKET_early_adult,AGE_BUCKET_elementary_school,AGE_BUCKET_full_adult,AGE_BUCKET_high_school,AGE_BUCKET_late_adult,AGE_BUCKET_middle_school,AGE_BUCKET_preschool,AGE_BUCKET_unknown,SDOT_Collision_Type,LATITUDE,LONGITUDE,INCDTTM,DIAGRAMLINK,report_url,SDOTCOLNUM,date
Block,5TH AVE BETWEEN PIKE ST AND PINE ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Daylight,,,13.0,From same direction - both going straight - both moving - rear-end,N,U,Unknown,20,Tuesday,July,,,,,,,,,,Other,-122.33603,47.611176,2025-07-08T20:17:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44144900.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG08184.pdf,,2025-07-08 20:17:00-07:00
Intersection,HOLMAN RD NW AND MARY AVE NW,,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,16,Tuesday,June,,,,,,,,,,Other,-122.37545,47.69472,2025-06-10T16:08:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\88112200.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG02534.pdf,,2025-06-10 16:08:00-07:00
Intersection,23RD AVE S AND S GRAHAM ST,,,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,13,Tuesday,July,,,,,,,,,,Other,-122.30447,47.546474,2025-07-08T13:23:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\55117700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07933.pdf,,2025-07-08 13:23:00-07:00
Block,BEACON AVE S BETWEEN S HINDS ST AND S SPOKANE ST,,,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Dark - Street Lights On,,,32.0,One parked--one moving,N,U,Unknown,23,Monday,July,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,-122.30843,47.57251,2025-07-07T23:43:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\81141900.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07816.pdf,,2025-07-07 23:43:00-07:00
Intersection,1ST AVE W AND W MCGRAW ST,,,2,Injury Collision,Angles,5,0,0,2,1,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,11,Thursday,June,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,-122.35825,47.639595,2025-06-05T11:15:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\55117700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EF98809.pdf,,2025-06-05 11:15:00-07:00
Block,N 50TH ST BETWEEN MERIDIAN AVE N AND KEYSTONE WR PL N,,,1,Property Damage Only Collision,Rear Ended,3,0,0,2,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Dark - Street Lights On,,,14.0,From same direction - both going straight - one stopped - rear-end,N,U,Unknown,22,Friday,July,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Other,-122.33237,47.665028,2025-07-11T22:57:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77147900.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG09143.pdf,,2025-07-11 22:57:00-07:00
Intersection,3RD AVE W AND W KINNEAR PL,,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,18,Tuesday,July,,,,,,,,,,Other,-122.3606,47.62773,2025-07-08T18:24:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77111100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG08246.pdf,,2025-07-08 18:24:00-07:00
Intersection,15TH AVE S AND S COLLEGE ST,,,2,Injury Collision,Angles,2,0,0,2,1,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,20,Friday,June,,,,,,,,,,Other,-122.31339,47.58298,2025-06-27T20:21:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77111100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG04719.pdf,,2025-06-27 20:21:00-07:00
Intersection,23RD AVE S AND S PLUM ST,,,2,Injury Collision,Angles,3,0,0,2,2,0,0,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,13,Tuesday,July,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,-122.30293,47.585495,2025-07-01T13:07:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11143300.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07804.pdf,,2025-07-01 13:07:00-07:00
Intersection,RAINIER AVE S AND S KING ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",N,Clear,Dry,Daylight,Y,,5.0,Vehicle Strikes Pedalcyclist,N,U,Unknown,10,Monday,June,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Bicycles,-122.31341,47.59833,2025-06-09T10:04:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33188800.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EF99345.pdf,,2025-06-09 10:04:00-07:00
Intersection,4TH AVE AND PINE ST,,,2,Injury Collision,Angles,2,0,0,2,2,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Dark - Street Lights On,,,10.0,Entering at angle,N,U,Unknown,2,Sunday,June,,,,,,,,,,Other,-122.33759,47.611206,2025-06-29T02:08:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66118800.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07005.pdf,,2025-06-29 02:08:00-07:00
