ADDRTYPE,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,highest_severity,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SPEEDING,ST_COLCODE,ST_COLDESC,HITPARKEDCAR,SHAREDMICROMOBILITYCD,SHAREDMICROMOBILITYDESC,hour,day_of_week,month,AGE_BUCKET_baby,AGE_BUCKET_early_adult,AGE_BUCKET_elementary_school,AGE_BUCKET_full_adult,AGE_BUCKET_high_school,AGE_BUCKET_late_adult,AGE_BUCKET_middle_school,AGE_BUCKET_preschool,AGE_BUCKET_unknown,SDOT_Collision_Type,LATITUDE,LONGITUDE,INCDTTM,DIAGRAMLINK,report_url,SDOTCOLNUM,date
Block,25TH AVE NE BETWEEN NE 60TH ST AND NE 65TH ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Overcast,Dry,Daylight,,,11.0,From same direction - both going straight - both moving - sideswipe,N,U,Unknown,7,Thursday,June,,,,,,,,,,Other,-122.300644,47.67396,2025-06-26T07:35:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\56145500.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG06757.pdf,,2025-06-26 07:35:00-07:00
Block,RAINIER AVE S BETWEEN S DAKOTA ST AND S ADAMS ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Overcast,Dry,Daylight,,,11.0,From same direction - both going straight - both moving - sideswipe,N,U,Unknown,11,Saturday,June,,,,,,,,,,Other,-122.28868,47.5659,2025-06-21T11:35:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\12111100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG03407.pdf,,2025-06-21 11:35:00-07:00
Block,23RD AVE BETWEEN E JAMES ST AND E CHERRY ST,,,2,Injury Collision,Other,2,0,0,1,1,0,0,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,N,Overcast,Dry,Daylight,,,50.0,Fixed object,N,U,Unknown,8,Friday,June,,,,,,,,,,Other,-122.30277,47.607437,2025-06-13T08:19:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\12280000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG01488.pdf,,2025-06-13 08:19:00-07:00
Block,AURORA AVE N BETWEEN N 130TH ST AND N 135TH ST,,,2,Injury Collision,Head On,2,0,0,2,1,0,0,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Overcast,Dry,Dark - Street Lights On,,,25.0,From opposite direction - one stopped - head-on,N,U,Unknown,3,Sunday,June,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,-122.34499,47.725037,2025-06-15T03:30:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11115900.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG01063.pdf,,2025-06-15 03:30:00-07:00
Block,NE 145TH ST BETWEEN 30TH AVE NE AND 31ST AVE NE,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,N,Overcast,Dry,Dark - Street Lights On,,,50.0,Fixed object,N,U,Unknown,4,Sunday,June,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Other,-122.29584,47.73378,2025-06-15T04:15:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\34280000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG01064.pdf,,2025-06-15 04:15:00-07:00
Intersection,LAKE CITY WAY NE AND NE 95TH ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",N,Overcast,Dry,Daylight,,,5.0,Vehicle Strikes Pedalcyclist,N,U,Unknown,16,Friday,June,,,,,,,,,,Bicycles,-122.305466,47.69757,2025-06-27T16:50:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77185500.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3925749.pdf,,2025-06-27 16:50:00-07:00
Intersection,23RD AVE S AND S JACKSON ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Overcast,Dry,Dark - Street Lights On,,,10.0,Entering at angle,N,U,Unknown,2,Saturday,June,,,,,,,,,,Other,-122.30223,47.59928,2025-06-14T02:15:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\55113200.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3931621.pdf,,2025-06-14 02:15:00-07:00
Block,S SPOKANE ST BETWEEN BEACON AVE S AND 18TH AVE S,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Overcast,Dry,Daylight,,,13.0,From same direction - both going straight - both moving - rear-end,N,U,Unknown,13,Saturday,June,,,,,,,,,,Other,-122.3079,47.571922,2025-06-21T13:04:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77147700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG03409.pdf,,2025-06-21 13:04:00-07:00
Block,S KING ST BETWEEN 12TH AVE S AND RAINIER AVE S,,,1,Property Damage Only Collision,Other,3,0,0,2,0,0,0,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Overcast,Dry,Daylight,,,23.0,From same direction - all others,Y,U,Unknown,18,Thursday,June,,,,,,,,,,Other,-122.315315,47.598335,2025-06-19T18:19:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\30113300.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3929166.pdf,,2025-06-19 18:19:00-07:00
Intersection,28TH AVE S AND S GRAHAM ST,,,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Overcast,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,19,Tuesday,June,,,,,,,,,,Other,-122.29688,47.54628,2025-06-17T19:43:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\55117700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3931813.pdf,,2025-06-17 19:43:00-07:00
