ADDRTYPE,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,highest_severity,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SPEEDING,ST_COLCODE,ST_COLDESC,HITPARKEDCAR,SHAREDMICROMOBILITYCD,SHAREDMICROMOBILITYDESC,hour,day_of_week,month,AGE_BUCKET_baby,AGE_BUCKET_early_adult,AGE_BUCKET_elementary_school,AGE_BUCKET_full_adult,AGE_BUCKET_high_school,AGE_BUCKET_late_adult,AGE_BUCKET_middle_school,AGE_BUCKET_preschool,AGE_BUCKET_unknown,SDOT_Collision_Type,LATITUDE,LONGITUDE,INCDTTM,DIAGRAMLINK,report_url,SDOTCOLNUM,date
Intersection,RAINIER AVE S AND S AUSTIN ST,,,2,Injury Collision,Other,1,0,0,1,1,0,0,At Intersection (intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,N,Raining,Wet,Daylight,,,50.0,Fixed object,N,U,Unknown,16,Thursday,June,,,,,,,,,,Other,-122.26999,47.53467,2025-06-26T16:10:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\56280000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07468.pdf,,2025-06-26 16:10:00-07:00
Intersection,CALIFORNIA AVE SW AND SW ANDOVER ST,,,2,Injury Collision,Angles,3,0,0,2,1,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Raining,Wet,Daylight,,,10.0,Entering at angle,N,U,Unknown,15,Thursday,June,,,,,,,,,,Other,-122.38677,47.56839,2025-06-26T15:59:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77115500.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG04957.pdf,,2025-06-26 15:59:00-07:00
Intersection,56TH AVE SW AND ALKI AVE SW,,,1,Property Damage Only Collision,Parked Car,3,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Raining,Wet,Daylight,,,32.0,One parked--one moving,N,U,Unknown,12,Saturday,June,,,,,,,,,,Other,-122.40396,47.581814,2025-06-21T12:45:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\56115900.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3931229.pdf,,2025-06-21 12:45:00-07:00
Intersection,14TH AVE S AND DALLAS AVE S,,,2,Injury Collision,Other,3,0,0,2,3,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Raining,Wet,Daylight,,,23.0,From same direction - all others,N,U,Unknown,9,Saturday,June,,,,,,,,,,Other,-122.31492,47.52737,2025-06-21T09:33:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\88111900.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3932610.pdf,,2025-06-21 09:33:00-07:00
Intersection,3RD AVE NW AND NW 95TH ST,,,2,Injury Collision,Angles,3,0,0,2,2,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Raining,Wet,Daylight,,,10.0,Entering at angle,N,U,Unknown,16,Thursday,June,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,-122.3607,47.697853,2025-06-26T16:54:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33115500.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3930046.pdf,,2025-06-26 16:54:00-07:00
Block,4TH AVE BETWEEN DILLING WAY AND JEFFERSON ST,,,2,Injury Collision,Other,1,0,0,1,1,0,0,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,N,Raining,Wet,Daylight,,,50.0,Fixed object,N,U,Unknown,7,Thursday,March,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Other,-122.329544,47.602406,2025-03-20T07:54:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\81280000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3933372.pdf,,2025-03-20 07:54:00-07:00
Block,S MCCLELLAN ST BETWEEN 12TH AVE S AND 13TH AVE S,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Raining,Wet,Dark - Street Lights On,,,32.0,One parked--one moving,Y,U,Unknown,0,Monday,February,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,-122.31667,47.578644,2025-02-17T00:52:00-08:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\76149300.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3930948.pdf,,2025-02-17 00:52:00-08:00
Block,AURORA AVE N BETWEEN HOWE ST AND LYNN ST,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,N,Raining,Wet,Dark - Street Lights On,,,50.0,Fixed object,N,U,Unknown,20,Wednesday,March,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,-122.34449,47.63759,2025-03-19T20:12:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\45280000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3933890.pdf,,2025-03-19 20:12:00-07:00
Block,S COLUMBIAN WB WAY BETWEEN COLUMBIAN WY - I5 SB RP AND COLUMBIAN WY - I5 NB RP,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Raining,Wet,Dark - Street Lights Off,,,13.0,From same direction - both going straight - both moving - rear-end,N,U,Unknown,2,Wednesday,January,,,,,,,,,,Other,-122.317535,47.57348,2025-01-01T02:47:00-08:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66146700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EF52263.pdf,,2025-01-01 02:47:00-08:00
Block,WEST SEATTLE BR WB BETWEEN POINT A AND FAUNTLEROY WAY SW,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,Mid-Block (not related to intersection),27,MOTOR VEHICLE RAN OFF ROAD - NO COLLISION,N,Raining,Wet,Daylight,,,52.0,Vehicle overturned,N,U,Unknown,12,Sunday,March,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,Other,-122.37349,47.56755,2025-03-23T12:04:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\67270000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3926309.pdf,,2025-03-23 12:04:00-07:00
